전철역명,호선,외부코드,x좌표(1px),y좌표(1px)
서현,수인분당선,K228,2031,2111
석계,01호선,120,1808,564
석계,06호선,645,1809,575
석남,07호선,761,181,1447
석남,인천2호선,I213,181,1458
석바위시장,인천2호선,I220,359,1784
석수,01-1호선,P145,846,1898
석수,01-5호선,P1455,846,1898
석천사거리,인천2호선,I222,491,1810
석촌,08호선,815,1933,1575
석촌,09호선,933,1933,1585
석촌고분,09호선,932,1886,1585
선릉,02호선,220,1660,1739
선릉,수인분당선,K215,1659,1751
선바위,04호선,435,1297,1963
선부,서해선,S25,774,2191
선유도,09호선,912,752,1288
선정릉,09호선,927,1660,1585
선정릉,수인분당선,K214,1659,1596
선학,인천1호선,I128,384,2013
성균관대,01-1호선,P153,1165,2216
성남,경강선,K410,2021,2088
성남,GTX-A-1,X109,2009,2088
성복,신분당선,D16,1748,2220
성수,02호선,211,1812,1144
성수,02-3호선,2111,1812,1144
성수,02-1호선,211-1,1812,1144
성신여대입구,04호선,418,1514,628
성신여대입구,우이신설경전철,951,1520,621
성환,01-1호선,P166,838,2462
세류,01-1호선,P156,1209,2324
세마,01-1호선,P158,1152,2382
세마,01-4호선,P1588,1152,2382
세종대왕릉,경강선,K419,2476,2328
센트럴파크,인천1호선,I137,384,2319
소래포구,수인분당선,K261,464,2196
소사,01호선,147,599,1632
소사,서해선,S16,599,1644
소새울,서해선,S17,599,1715
소요산,01호선,100,2327,63
솔밭공원,우이신설경전철,942,1520,320
솔샘,우이신설경전철,948,1520,509
송내,01호선,150,423,1632
송도,수인분당선,K267,297,2091
송도달빛축제공원,인천1호선,I139,303,2353
송산,의정부경전철,U124,2318,249
송정,05호선,513,424,1054
송탄,01-1호선,P162,1045,2462
송파,08호선,816,1933,1693
송파나루,09호선,934,1969,1585
수내,수인분당선,K229,2008,2133
수락산,07호선,711,1919,341
수리산,04호선,445,984,2131
수색,경의선,K103,622,863
수서,03호선,349,1890,1910
수서,수인분당선,K221,1902,1910
수서,GTX-A-1,X108,1917,1910
수원,수인분당선,K245,1244,2286
수원,01-1호선,P155,1232,2287
수원시청,수인분당선,K243,1391,2286
수유,04호선,414,1701,443
수지구청,신분당선,D15,1835,2220
수진,08호선,826,2103,2022
숙대입구,04호선,427,1297,1174
숭실대입구,07호선,738,1223,1700
숭의,수인분당선,K270,275,2037
시민공원,인천2호선,I219,313,1784
시우,서해선,S27,774,2355
시청,01호선,132,1099,850
시청,02호선,201,1099,861
시청,02호선,244,1099,861
시청.용인대,용인경전철,Y117,2065,2393
시흥능곡,서해선,S23,721,2106
시흥대야,서해선,S18,599,1879
시흥시청,서해선,S22,682,2067
신갈,수인분당선,K236,1813,2286
신금호,05호선,538,1586,963
신길,01호선,138,1005,1522
신길,05호선,525,1005,1510
신길온천,04호선,454,655,2275
신길온천,수인분당선,K256,655,2286
신내,06호선,649,2123,639
신내,경춘선,P122,2123,649
신논현,09호선,925,1562,1585
신논현,신분당선,D6,1562,1597
신답,02-1호선,211-3,1798,927
신당,02호선,206,1537,855
신당,06호선,636,1537,844
신대방,02호선,231,1023,1766
신대방삼거리,07호선,741,1105,1700
신도림,01호선,140,881,1631
신도림,02호선,234,881,1620
신도림,02-4호선,2344,881,1620
신도림,02-2호선,234-1,881,1620
신둔도예촌,경강선,K416,2354,2207
신림,02호선,230,1058,1789
신림,신림선,S408,1058,1800
신목동,09호선,911,713,1249
신반포,09호선,922,1407,1530
신방화,09호선,904,523,948
신사,03호선,337,1483,1435
신사,신분당선,D4,1483,1447
신설동,01호선,126,1623,736
신설동,우이신설경전철,953,1623,724
신설동,02-1호선,211-5,1623,751
신연수,인천1호선,I129,384,2055
신용산,04호선,429,1297,1302
신원,경의선,K131,2485,745
신이문,01호선,121,1808,611
신정,05호선,519,658,1338
신정네거리,02-2호선,234-4,650,1413
신중동,07호선,754,523,1485
신창,01-1호선,P177,304,2462
신천,서해선,S19,599,1965
신촌,02호선,240,882,1052
신촌,경의선-1호선,K105-1,972,1034
신포,수인분당선,K271,275,2004
신풍,07호선,743,1001,1700
신현,서해선,S20,642,2028
신흥,08호선,825,2145,2022
쌍문,04호선,413,1755,408
쌍용,01-1호선,P171,571,2462
아산,01-1호선,P172,517,2462
아시아드경기장,인천2호선,I209,181,1148
아신,경의선,K133,2485,803
아차산,05호선,545,2047,1035
아현,02호선,242,969,949
안국,03호선,328,1221,679
안산,04호선,453,719,2275
안산,수인분당선,K255,720,2286
안암,06호선,640,1600,656
안양,01-1호선,P147,924,1974
암사,08호선,810,2082,1209
암사역사공원,08호선,809,2112,1179
압구정,03호선,336,1483,1401
압구정로데오,수인분당선,K212,1659,1321
애오개,05호선,530,1036,1106
야당,경의선,K92,501,280
야목,수인분당선,K249,1063,2286
야탑,수인분당선,K226,2055,2055
약수,03호선,333,1483,1126
약수,06호선,634,1483,1115
양수,경의선,K130,2485,716
양원,경의선,K122,2120,704
양재,03호선,342,1562,1910
양재,신분당선,D8,1562,1898
양재시민의숲,신분당선,D9,1596,1977
양정,경의선,K125,2272,704
양주,01호선,107,2080,125
양천구청,02-2호선,234-3,731,1495
양천향교,09호선,906,607,994
양촌,김포도시철도,690,128,633
양평,05호선,522,767,1448
양평,경의선,K135,2485,862
어룡,의정부경전철,U123,2296,227
어린이대공원,07호선,726,1937,1134
어정,용인경전철,Y113,1879,2393
어천,수인분당선,K248,1106,2286
언주,09호선,926,1613,1585
여의나루,05호선,527,1036,1428
여의도,05호선,526,1036,1459
여의도,09호선,915,1036,1448
여주,경강선,K420,2518,2372
역곡,01호선,146,633,1632
역삼,02호선,221,1614,1773
역촌,06호선,611,1014,539
연수,수인분당선,K266,339,2091
연신내,03호선,321,921,513
연신내,06호선,614,948,513
연신내,GTX-A,X105,934,513
연천,01호선,97,2450,63
염창,09호선,910,667,1202
영등포,01호선,139,938,1571
영등포구청,02호선,236,827,1507
영등포구청,05호선,523,820,1500
영등포시장,05호선,524,908,1510
영종,공항철도,A10,104,1855
영통,수인분당선,K240,1578,2286
예술회관,인천1호선,I125,384,1893
오금,03호선,352,2075,1720
오금,05-1호선,548-5,2065,1720
오남,04호선,406,2212,408
오류동,01호선,144,724,1632
오리,수인분당선,K232,1984,2251
오목교,05호선,521,732,1413
오목천,수인분당선,K247,1152,2286
오빈,경의선,K134,2485,833
오산,01-1호선,P160,1105,2429
오산대,01-1호선,P159,1128,2406
오이도,04호선,456,506,2275
오이도,수인분당선,K258,506,2286
옥수,03호선,335,1483,1291
옥수,경의선,K114,1483,1279
온수,01호선,145,672,1632
온수,07호선,750,679,1641
온양온천,01-1호선,P176,357,2462
올림픽공원,09호선,936,2047,1585
올림픽공원,05-1호선,548-3,2047,1575
완정,인천2호선,I205,181,936
왕길,인천2호선,I202,181,829
왕십리,02호선,208,1694,963
왕십리,05호선,540,1722,963
왕십리,경의선,K116,1681,963
왕십리,수인분당선,K210,1707,964
외대앞,01호선,122,1808,649
용답,02-1호선,211-2,1899,1059
용두,02-1호선,211-4,1705,832
용마산,07호선,723,1976,876
용문,경의선,K137,2485,920
용산,01호선,135,1199,1338
용산,경의선,K110,1199,1328
용인중앙시장,용인경전철,Y120,2203,2393
우장산,05호선,516,528,1207
운길산,경의선,K129,2445,704
운서,공항철도,A11,104,1947
운양,김포도시철도,694,248,752
운연,인천2호선,I227,491,1996
운정,경의선,K91,456,280
운정중앙,GTX-A,X101,242,433
운천,경의선,K85,184,280
원당,03호선,316,686,513
원덕,경의선,K136,2485,891
원시,서해선,S28,841,2373
원인재,인천1호선,I130,384,2091
원인재,수인분당선,K265,396,2091
원종,서해선,S14,482,1363
원흥,03호선,317,730,513
월계,01호선,118,1808,484
월곡,06호선,642,1645,610
월곶,수인분당선,K260,464,2227
월드컵경기장,06호선,620,704,1043
월롱,경의선,K88,321,280
을지로3가,02호선,203,1221,821
을지로3가,03호선,330,1221,811
을지로4가,02호선,204,1320,811
을지로4가,05호선,535,1320,800
을지로입구,02호선,202,1157,838
응봉,경의선,K115,1554,1210
응암,06호선,610,986,565
응암,06호선,616,986,565
의왕,01-1호선,P152,1132,2184
의정부,01호선,110,1998,207
의정부시청,의정부경전철,U114,1930,193
의정부중앙,의정부경전철,U117,2072,193
이대,02호선,241,918,1002
이매,수인분당선,K227,2055,2088
이매,경강선,K411,2069,2088
이천,경강선,K417,2395,2247
이촌,04호선,430,1297,1337
이촌,경의선,K111,1297,1328
이태원,06호선,631,1368,1231
인덕원,04호선,440,1165,2059
인천,01호선,161,275,1961
인천,수인분당선,K272,275,1974
